DateTime (UTC), magX, magY, magZ
2015-10-24 03:47:16.281244,72,-224,-214
2015-10-24 03:47:30.419053,69,-228,-216
2015-10-24 03:47:44.555861,75,-225,-217
2015-10-24 03:47:58.677669,73,-221,-214
2015-10-24 03:48:12.815477,77,-221,-223
2015-10-24 03:48:26.952286,74,-225,-214
2015-10-24 03:48:41.074094,69,-220,-222
2015-10-24 03:48:55.210902,70,-223,-215
2015-10-24 03:49:09.347711,71,-224,-216
2015-10-24 03:49:23.485520,70,-227,-225
2015-10-24 03:49:37.607327,66,-226,-221
2015-10-24 03:49:51.745136,67,-227,-219
2015-10-24 03:50:05.881944,77,-228,-221
2015-10-24 03:50:20.003752,69,-227,-223
2015-10-24 03:50:34.141561,72,-229,-232
2015-10-24 03:50:48.278369,73,-231,-226
2015-10-24 03:51:02.400177,77,-231,-220
2015-10-24 03:51:16.536986,56,-210,258
2015-10-24 03:51:30.673794,71,-224,-226
2015-10-24 03:51:44.796602,77,-226,-222
2015-10-24 03:51:58.933411,77,-225,-225
2015-10-24 03:52:13.070219,75,-228,-228
2015-10-24 03:52:27.208028,71,-225,-218
2015-10-24 03:52:41.329836,71,-223,-223
2015-10-24 03:52:55.466644,76,-224,-223
2015-10-24 03:53:09.604453,72,-225,-232
2015-10-24 03:53:23.726261,75,-222,-226
2015-10-24 03:53:37.863069,78,-224,-220
2015-10-24 03:53:52.000878,74,-229,-219
2015-10-24 03:54:06.122685,76,-223,-225
2015-10-24 03:54:20.259494,77,-234,-231
2015-10-24 03:54:34.397303,74,-226,-227
2015-10-24 03:54:48.519110,78,-224,-221
2015-10-24 03:55:02.656919,73,-227,-234
2015-10-24 03:55:16.793728,80,-228,-229
2015-10-24 03:55:30.915535,73,-227,-229
2015-10-24 03:55:45.053344,80,-232,-222
2015-10-24 03:55:59.190153,85,-230,-222
2015-10-24 03:56:13.327961,81,-224,-222
2015-10-24 03:56:27.449769,75,-228,-222
2015-10-24 03:56:41.586577,82,-229,-213
2015-10-24 03:56:55.724386,80,-227,-229
2015-10-24 03:57:09.846194,84,-224,-223
2015-10-24 03:57:23.983002,85,-224,-219
2015-10-24 03:57:38.120811,80,-229,-228
2015-10-24 03:57:52.242619,76,-224,-226
2015-10-24 03:58:06.379427,81,-221,-223
